form,root
gut,gut
bessere,gut
bser,gut
besseren,gut
guten,gut
gutem,gut
guter,gut
bess,gut
gutes,gut
besseres,gut
besser,gut
besserem,gut
besserer,gut
gute,gut
neuer,neu
neuestenneusten,neu
neuesterneuster,neu
neuen,neu
neuere,neu
neuerem,neu
neu,neu
neueren,neu
neuem,neu
neutenneusten,neu
neuesteneuste,neu
neuestesneustes,neu
neues,neu
neuesteneustes,neu
neuestemneustem,neu
neuestneust,neu
neueres,neu
neue,neu
neuerer,neu
älteren,alt
ältestes,alt
alte,alt
älter,alt
älterer,alt
ältten,alt
altes,alt
älteres,alt
altem,alt
ältesten,alt
alt,alt
ältestem,alt
alten,alt
älterem,alt
älteste,alt
ält,alt
ältester,alt
alter,alt
ältere,alt
jungen,jung
jüngeren,jung
jüngster,jung
jüngstes,jung
jüngstem,jung
junges,jung
jung,jung
jüngeres,jung
jüngste,jung
jünger,jung
jüngerer,jung
jüngere,jung
jüngsten,jung
jüngerem,jung
jüng,jung
jungem,jung
junger,jung
junge,jung
größtegrößeste,groß
größere,groß
größerer,groß
größtergrößester,groß
großer,groß
großem,groß
größerem,groß
groß,groß
große,groß
größtengrößesten,groß
größtemgrößestem,groß
größeres,groß
größtgrößest,groß
größeren,groß
großen,groß
großes,groß
größ,groß
größtesgrößestes,groß
größer,groß
größtengrößten,groß
größtegrößestes,groß
kleine,klein
kleineren,klein
kles,klein
kleinerer,klein
kleinem,klein
kleres,klein
klster,klein
klen,klein
kleinere,klein
klerer,klein
klre,klein
kleinsten,klein
kleinen,klein
kleineres,klein
kler,klein
kleinster,klein
kl,klein
klstes,klein
kleinstes,klein
kleinste,klein
klein,klein
kleinerem,klein
kleiner,klein
kleinstem,klein
kleines,klein
langem,lang
längsten,lang
längstem,lang
lange,lang
längerem,lang
längste,lang
längerer,lang
länger,lang
lang,lang
langer,lang
langes,lang
längeren,lang
längster,lang
längstes,lang
langen,lang
längeres,lang
läng,lang
längere,lang
kurze,kurz
kürzestem,kurz
kürzeren,kurz
kurzen,kurz
kürzestes,kurz
kürzester,kurz
kürzten,kurz
kürzer,kurz
kurzer,kurz
kürzere,kurz
kürzeste,kurz
kürz,kurz
kürzerem,kurz
kurzem,kurz
kürzesten,kurz
kurzes,kurz
kurz,kurz
kürzerer,kurz
kürzeres,kurz
hohen,hoch
höherem,hoch
höhere,hoch
höchstes,hoch
höchster,hoch
höheren,hoch
höchste,hoch
höherer,hoch
höher,hoch
höchsten,hoch
hohem,hoch
hoch,hoch
höchstem,hoch
hoher,hoch
hohe,hoch
höh,hoch
hohes,hoch
höheres,hoch
niedrigstes,niedrig
niedrigem,niedrig
niedrigere,niedrig
niedrigsten,niedrig
niedrige,niedrig
niedrigste,niedrig
niedrigen,niedrig
niedrigster,niedrig
niedrigeren,niedrig
niedrigerem,niedrig
niedrigeres,niedrig
niedrigstem,niedrig
niedriger,niedrig
niedrigerer,niedrig
niedriges,niedrig
niedrig,niedrig
weiteste,weit
weite,weit
weitten,weit
weitestem,weit
weiten,weit
weitestes,weit
weiterer,weit
weiteres,weit
weitere,weit
weiteren,weit
weites,weit
weiterem,weit
weiter,weit
weitesten,weit
weitem,weit
weit,weit
weitester,weit
engsten,eng
engstem,eng
engem,eng
engstes,eng
engster,eng
enger,eng
engerem,eng
engerer,eng
engere,eng
engeres,eng
engeren,eng
enge,eng
eng,eng
engste,eng
enges,eng
engen,eng
breiten,breit
breitesten,breit
breites,breit
breite,breit
breiterem,breit
breitten,breit
breiteste,breit
breitestes,breit
breiteren,breit
breitester,breit
breitestem,breit
breit,breit
breitem,breit
breiteres,breit
breiterer,breit
breitere,breit
breiter,breit
schmale,schmal
schmalereschmälere,schmal
schmalsteschmälstes,schmal
schmal,schmal
schmalerenschmäleren,schmal
schmalen,schmal
schmales,schmal
schmalererschmälerer,schmal
schmaleremschmälerem,schmal
schmalstenschmälsten,schmal
schmalsteschmälste,schmal
schmalerschmäler,schmal
schmalsterschmälster,schmal
schmalstschmälst,schmal
schmaler,schmal
schmalereschmäleres,schmal
schmalem,schmal
schmaleresschmäleres,schmal
schmalstemschmälstem,schmal
